2026-03-28 12:34:04,765 - Reading configuration from: /home/sdc_joran/Journal/deeprl_signal_control/config/config_ppo_real.ini
2026-03-28 12:34:04,765 - Using frozen controller run dir: /home/sdc_joran/Journal/deeprl_signal_control/runs/ppo_real
2026-03-28 12:34:04,765 - Adversary output dir: /home/sdc_joran/Journal/deeprl_signal_control/output_adversary_monaco/ppo_real_fresh
2026-03-28 12:34:04,766 - Initializing Adversarial Environment...
2026-03-28 12:34:25,025 - Initializing GCN Adversary...
2026-03-28 12:34:25,164 - Start Training...
2026-03-28 12:34:27,196 - Training Finished.
2026-03-28 12:36:54,124 - Reading configuration from: /home/sdc_joran/Journal/deeprl_signal_control/config/config_ppo_real.ini
2026-03-28 12:36:54,124 - Using frozen controller run dir: /home/sdc_joran/Journal/deeprl_signal_control/runs/ppo_real
2026-03-28 12:36:54,124 - Adversary output dir: /home/sdc_joran/Journal/deeprl_signal_control/output_adversary_monaco/ppo_real_fresh
2026-03-28 12:36:54,125 - Initializing Adversarial Environment...
2026-03-28 12:37:14,320 - Initializing GCN Adversary...
2026-03-28 12:37:14,459 - Start Training...
2026-03-28 13:56:29,081 - Saved checkpoint at episode=199 to /home/sdc_joran/Journal/deeprl_signal_control/output_adversary_monaco/ppo_real_fresh/model
2026-03-28 13:56:51,263 - Episode 200: Steps=11, Reward=69911.00
2026-03-28 13:57:13,744 - Episode 201: Steps=11, Reward=58239.00
2026-03-28 13:57:39,683 - Episode 202: Steps=11, Reward=262660.00
2026-03-28 13:58:05,995 - Episode 203: Steps=11, Reward=285040.00
2026-03-28 13:58:29,129 - Episode 204: Steps=11, Reward=137615.00
2026-03-28 13:58:51,963 - Episode 205: Steps=11, Reward=75478.00
2026-03-28 13:59:14,222 - Episode 206: Steps=11, Reward=63358.00
2026-03-28 13:59:37,593 - Episode 207: Steps=11, Reward=104115.00
2026-03-28 14:00:03,652 - Episode 208: Steps=11, Reward=274213.00
2026-03-28 14:00:25,671 - Episode 209: Steps=11, Reward=69709.00
2026-03-28 14:00:25,678 - Saved checkpoint at episode=209 to /home/sdc_joran/Journal/deeprl_signal_control/output_adversary_monaco/ppo_real_fresh/model
2026-03-28 14:00:51,876 - Episode 210: Steps=11, Reward=242791.00
2026-03-28 14:01:13,744 - Episode 211: Steps=11, Reward=58418.00
2026-03-28 14:01:36,230 - Episode 212: Steps=11, Reward=65617.00
2026-03-28 14:01:57,988 - Episode 213: Steps=11, Reward=58093.00
2026-03-28 14:02:22,387 - Episode 214: Steps=11, Reward=168145.00
2026-03-28 14:02:45,231 - Episode 215: Steps=11, Reward=111201.00
2026-03-28 14:03:11,490 - Episode 216: Steps=11, Reward=264504.00
2026-03-28 14:03:36,359 - Episode 217: Steps=11, Reward=203574.00
2026-03-28 14:03:58,860 - Episode 218: Steps=11, Reward=68700.00
2026-03-28 14:04:21,002 - Episode 219: Steps=11, Reward=78688.00
2026-03-28 14:04:21,010 - Saved checkpoint at episode=219 to /home/sdc_joran/Journal/deeprl_signal_control/output_adversary_monaco/ppo_real_fresh/model
2026-03-28 14:04:43,392 - Episode 220: Steps=11, Reward=85000.00
2026-03-28 14:05:08,767 - Episode 221: Steps=11, Reward=219596.00
2026-03-28 14:05:31,046 - Episode 222: Steps=11, Reward=70492.00
2026-03-28 14:05:55,478 - Episode 223: Steps=11, Reward=190468.00
2026-03-28 14:06:18,529 - Episode 224: Steps=11, Reward=105489.00
2026-03-28 14:06:40,991 - Episode 225: Steps=11, Reward=87414.00
2026-03-28 14:07:03,820 - Episode 226: Steps=11, Reward=92148.00
2026-03-28 14:07:30,473 - Episode 227: Steps=11, Reward=292179.00
2026-03-28 14:07:53,557 - Episode 228: Steps=11, Reward=115531.00
2026-03-28 14:08:16,689 - Episode 229: Steps=11, Reward=107286.00
2026-03-28 14:08:16,696 - Saved checkpoint at episode=229 to /home/sdc_joran/Journal/deeprl_signal_control/output_adversary_monaco/ppo_real_fresh/model
2026-03-28 14:08:38,661 - Episode 230: Steps=11, Reward=69550.00
2026-03-28 14:09:03,416 - Episode 231: Steps=11, Reward=194430.00
2026-03-28 14:09:25,461 - Episode 232: Steps=11, Reward=61550.00
2026-03-28 14:09:48,292 - Episode 233: Steps=11, Reward=85859.00
2026-03-28 14:10:10,546 - Episode 234: Steps=11, Reward=56617.00
2026-03-28 14:10:32,376 - Episode 235: Steps=11, Reward=50953.00
2026-03-28 14:10:55,265 - Episode 236: Steps=11, Reward=97126.00
2026-03-28 14:11:17,330 - Episode 237: Steps=11, Reward=43534.00
2026-03-28 14:11:39,458 - Episode 238: Steps=11, Reward=77700.00
2026-03-28 14:12:01,174 - Episode 239: Steps=11, Reward=45375.00
2026-03-28 14:12:01,182 - Saved checkpoint at episode=239 to /home/sdc_joran/Journal/deeprl_signal_control/output_adversary_monaco/ppo_real_fresh/model
2026-03-28 14:12:23,550 - Episode 240: Steps=11, Reward=65543.00
2026-03-28 14:12:45,663 - Episode 241: Steps=11, Reward=65644.00
2026-03-28 14:13:11,515 - Episode 242: Steps=11, Reward=256801.00
2026-03-28 14:13:34,472 - Episode 243: Steps=11, Reward=108933.00
2026-03-28 14:14:01,984 - Episode 244: Steps=11, Reward=325965.00
2026-03-28 14:14:24,004 - Episode 245: Steps=11, Reward=58720.00
2026-03-28 14:14:46,561 - Episode 246: Steps=11, Reward=82473.00
2026-03-28 14:15:10,333 - Episode 247: Steps=11, Reward=160195.00
2026-03-28 14:15:32,807 - Episode 248: Steps=11, Reward=83739.00
2026-03-28 14:15:57,423 - Episode 249: Steps=11, Reward=176020.00
2026-03-28 14:15:57,432 - Saved checkpoint at episode=249 to /home/sdc_joran/Journal/deeprl_signal_control/output_adversary_monaco/ppo_real_fresh/model
